,model_name,frame_number,people,error,perc_error,time,filter,model_name_true,people_true
53,ssd_mobilenet_v1_ppn_coco,54.0,4,2.0,0.3333333333333333,4.072398190045249,4.0,Ground Truth,6
54,ssd_mobilenet_v1_ppn_coco,55.0,4,2.0,0.3333333333333333,4.1478129713423835,4.0,Ground Truth,6
55,ssd_mobilenet_v1_ppn_coco,56.0,4,2.0,0.3333333333333333,4.223227752639517,4.0,Ground Truth,6
56,ssd_mobilenet_v1_ppn_coco,57.0,4,2.0,0.3333333333333333,4.298642533936651,4.0,Ground Truth,6
57,ssd_mobilenet_v1_ppn_coco,58.0,4,2.0,0.3333333333333333,4.374057315233786,4.0,Ground Truth,6
58,ssd_mobilenet_v1_ppn_coco,59.0,3,2.0,0.5,4.44947209653092,4.0,Ground Truth,6
59,ssd_mobilenet_v1_ppn_coco,60.0,5,2.0,0.16666666666666666,4.524886877828054,4.0,Ground Truth,6
60,ssd_mobilenet_v1_ppn_coco,61.0,4,2.0,0.3333333333333333,4.600301659125188,4.0,Ground Truth,6
61,ssd_mobilenet_v1_ppn_coco,62.0,3,2.0,0.5,4.675716440422323,4.0,Ground Truth,6
62,ssd_mobilenet_v1_ppn_coco,63.0,3,2.0,0.5,4.751131221719457,4.0,Ground Truth,6
63,ssd_mobilenet_v1_ppn_coco,64.0,4,2.0,0.3333333333333333,4.826546003016591,4.0,Ground Truth,6
64,ssd_mobilenet_v1_ppn_coco,65.0,4,2.0,0.3333333333333333,4.901960784313726,4.0,Ground Truth,6
65,ssd_mobilenet_v1_ppn_coco,66.0,4,1.0,0.3333333333333333,4.97737556561086,5.0,Ground Truth,6
66,ssd_mobilenet_v1_ppn_coco,67.0,5,1.0,0.16666666666666666,5.052790346907994,5.0,Ground Truth,6
67,ssd_mobilenet_v1_ppn_coco,68.0,5,1.0,0.16666666666666666,5.128205128205129,5.0,Ground Truth,6
68,ssd_mobilenet_v1_ppn_coco,69.0,5,1.0,0.16666666666666666,5.203619909502263,5.0,Ground Truth,6
69,ssd_mobilenet_v1_ppn_coco,70.0,4,1.0,0.3333333333333333,5.279034690799397,5.0,Ground Truth,6
70,ssd_mobilenet_v1_ppn_coco,71.0,4,1.0,0.3333333333333333,5.354449472096531,5.0,Ground Truth,6
71,ssd_mobilenet_v1_ppn_coco,72.0,6,1.0,0.0,5.429864253393665,5.0,Ground Truth,6
72,ssd_mobilenet_v1_ppn_coco,73.0,4,1.0,0.3333333333333333,5.505279034690799,5.0,Ground Truth,6
73,ssd_mobilenet_v1_ppn_coco,74.0,4,1.0,0.3333333333333333,5.580693815987933,5.0,Ground Truth,6
74,ssd_mobilenet_v1_ppn_coco,75.0,4,1.0,0.3333333333333333,5.656108597285068,5.0,Ground Truth,6
75,ssd_mobilenet_v1_ppn_coco,76.0,6,1.0,0.0,5.731523378582202,5.0,Ground Truth,6
76,ssd_mobilenet_v1_ppn_coco,77.0,8,1.0,0.3333333333333333,5.806938159879336,5.0,Ground Truth,6
77,ssd_mobilenet_v1_ppn_coco,78.0,7,1.0,0.16666666666666666,5.882352941176471,5.0,Ground Truth,6
78,ssd_mobilenet_v1_ppn_coco,79.0,6,1.0,0.0,5.957767722473605,5.0,Ground Truth,6
79,ssd_mobilenet_v1_ppn_coco,80.0,6,1.0,0.0,6.033182503770739,5.0,Ground Truth,6
80,ssd_mobilenet_v1_ppn_coco,81.0,6,1.0,0.0,6.108597285067874,5.0,Ground Truth,6
81,ssd_mobilenet_v1_ppn_coco,82.0,6,1.0,0.0,6.184012066365008,5.0,Ground Truth,6
82,ssd_mobilenet_v1_ppn_coco,83.0,6,1.0,0.0,6.259426847662142,5.0,Ground Truth,6
83,ssd_mobilenet_v1_ppn_coco,84.0,5,1.0,0.16666666666666666,6.334841628959276,5.0,Ground Truth,6
84,ssd_mobilenet_v1_ppn_coco,85.0,5,1.0,0.16666666666666666,6.410256410256411,5.0,Ground Truth,6
85,ssd_mobilenet_v1_ppn_coco,86.0,6,1.0,0.0,6.4856711915535445,5.0,Ground Truth,6
86,ssd_mobilenet_v1_ppn_coco,87.0,6,1.0,0.0,6.5610859728506785,5.0,Ground Truth,6
87,ssd_mobilenet_v1_ppn_coco,88.0,5,1.0,0.16666666666666666,6.636500754147813,5.0,Ground Truth,6
88,ssd_mobilenet_v1_ppn_coco,89.0,5,1.0,0.16666666666666666,6.711915535444947,5.0,Ground Truth,6
89,ssd_mobilenet_v1_ppn_coco,90.0,4,1.0,0.3333333333333333,6.787330316742081,5.0,Ground Truth,6
90,ssd_mobilenet_v1_ppn_coco,91.0,5,1.0,0.16666666666666666,6.862745098039216,5.0,Ground Truth,6
91,ssd_mobilenet_v1_ppn_coco,92.0,6,1.0,0.0,6.93815987933635,5.0,Ground Truth,6
92,ssd_mobilenet_v1_ppn_coco,93.0,4,1.0,0.3333333333333333,7.013574660633484,5.0,Ground Truth,6
93,ssd_mobilenet_v1_ppn_coco,94.0,4,1.0,0.3333333333333333,7.088989441930618,5.0,Ground Truth,6
94,ssd_mobilenet_v1_ppn_coco,95.0,4,1.0,0.3333333333333333,7.164404223227753,5.0,Ground Truth,6
95,ssd_mobilenet_v1_ppn_coco,96.0,4,1.0,0.3333333333333333,7.239819004524887,5.0,Ground Truth,6
96,ssd_mobilenet_v1_ppn_coco,97.0,4,1.0,0.3333333333333333,7.315233785822021,5.0,Ground Truth,6
97,ssd_mobilenet_v1_ppn_coco,98.0,4,1.0,0.3333333333333333,7.390648567119156,5.0,Ground Truth,6
98,ssd_mobilenet_v1_ppn_coco,99.0,4,1.0,0.3333333333333333,7.46606334841629,5.0,Ground Truth,6
99,ssd_mobilenet_v1_ppn_coco,100.0,5,1.0,0.16666666666666666,7.541478129713424,5.0,Ground Truth,6
100,ssd_mobilenet_v1_ppn_coco,101.0,4,1.0,0.3333333333333333,7.6168929110105585,5.0,Ground Truth,6
101,ssd_mobilenet_v1_ppn_coco,102.0,8,1.0,0.3333333333333333,7.6923076923076925,5.0,Ground Truth,6
102,ssd_mobilenet_v1_ppn_coco,103.0,7,1.0,0.16666666666666666,7.7677224736048265,5.0,Ground Truth,6
103,ssd_mobilenet_v1_ppn_coco,104.0,5,1.0,0.16666666666666666,7.843137254901961,5.0,Ground Truth,6
104,ssd_mobilenet_v1_ppn_coco,105.0,4,1.0,0.3333333333333333,7.918552036199095,5.0,Ground Truth,6
